time,seconds_elapsed,acc_z,acc_y,acc_x,gry_z,gry_y,gry_x,gravity_z,gravity_y,gravity_x,mag_z,mag_y,mag_x,qz,qy,qx,qw,roll,pitch,yaw,tacc_z,tacc_y,tacc_x,activity
1.70E+18,5.381707275,-0.501918912,-0.948040962,-0.164393902,-0.510246634,-1.116697073,0.576291084,0.114587359,9.696070671,1.464057326,14.83519936,-25.25399971,28.85299873,0.575458586,0.568050742,0.446988285,0.382579714,-2.083894253,-1.479075789,2.312914848,-0.254237413,9.31525898,2.42273283,walk
1.70E+18,5.39155957,0.531430006,-0.591496468,0.588519096,-0.602988482,-1.221156478,0.536344826,0.047375325,9.704782486,1.409023762,14.68879986,-25.05879974,29.06040001,0.573973119,0.569314718,0.446588635,0.383398235,-2.125149488,-1.481159091,2.272323608,0.198305175,9.327222824,2.302792788,walk
1.70E+18,5.401429932,1.163582444,-0.219094276,1.287843943,-0.651456594,-1.166296959,0.529420793,-0.016346149,9.713275909,1.349958539,14.70099926,-24.96119881,29.25559998,0.57242775,0.570259452,0.446390241,0.384533942,-2.164483547,-1.483236551,2.23456192,0.68225354,9.346364975,2.408077002,walk
1.70E+18,5.411283691,1.14598453,-0.207725525,1.847514153,-0.652588367,-0.998922288,0.528888226,-0.077134281,9.720918655,1.291577339,14.6644001,-24.86359978,29.36540031,0.570663869,0.570883632,0.446559727,0.38602978,-2.204581261,-1.485166192,2.197320223,0.890728235,9.483055115,2.499303341,walk
1.70E+18,5.421151611,0.720910847,-0.317430496,2.012971401,-0.638141155,-0.759045124,0.50172478,-0.132947832,9.727721214,1.234564066,14.55459976,-24.70499992,29.45079994,0.568595648,0.571173728,0.447213262,0.387891471,-2.246562004,-1.486798644,2.159697771,0.754337311,9.641280174,2.50169611,walk
1.70E+18,5.431006836,0.139473364,-0.39993,1.973919749,-0.628021419,-0.531484723,0.438809425,-0.181009263,9.733902931,1.178457975,14.45699978,-24.60739899,29.51179886,0.566363096,0.571255803,0.448182344,0.389913142,-2.289508343,-1.488078594,2.121967077,0.390030086,9.734601021,2.384148598,walk
1.70E+18,5.44086792,-0.15992108,-0.493646622,1.651463509,-0.612575591,-0.359316409,0.348730654,-0.21898368,9.739664078,1.123113036,14.24959946,-24.46100044,29.54839897,0.564275146,0.571188152,0.449247181,0.391809464,-2.328110218,-1.488959074,2.088549137,0.004486543,9.760921478,2.17358017,walk
1.70E+18,5.450723633,-0.004577398,-0.533961296,1.340922594,-0.58061856,-0.251661301,0.263978064,-0.247086391,9.74494648,1.070214868,14.27400017,-24.41219902,29.64599991,0.562676072,0.571016729,0.450166345,0.393301129,-2.356082201,-1.489493012,2.064810991,-0.292522579,9.782457352,1.828415632,walk
1.70E+18,5.46055249,0.470595598,-0.525635719,1.270193338,-0.533149123,-0.234084964,0.218705654,-0.269299746,9.749554634,1.021792889,14.27400017,-24.39999962,29.67039871,0.561736703,0.570679069,0.45085606,0.394342631,-2.368901968,-1.489857912,2.055035591,-0.455533624,9.882955551,1.512263894,walk
1.70E+18,5.470405762,0.976325393,-0.50947094,1.420669675,-0.492137671,-0.302259862,0.219238266,-0.290938318,9.753494263,0.977289021,14.34719944,-24.43659973,29.70699883,0.561496913,0.570101619,0.451246083,0.39507252,-2.364948273,-1.490406036,2.060950756,-0.577567577,10.13928699,1.380658627,walk
1.70E+18,5.480248535,1.210893393,-0.375665665,1.554767609,-0.471898228,-0.388610333,0.26291284,-0.316847116,9.756857872,0.93473053,14.33500004,-24.37559891,29.73139954,0.562247396,0.569759429,0.450681329,0.395143539,-2.34694171,-1.491518974,2.078053951,-0.632901609,10.50120163,1.555334687,walk
1.70E+18,5.490100586,1.105929852,-0.220049858,1.598215818,-0.450526983,-0.388610333,0.31730628,-0.348110676,9.759597778,0.894127429,14.32279968,-24.3512001,29.65819931,0.563718915,0.569573462,0.449375302,0.394802392,-2.31788969,-1.493157029,2.104148149,-0.625723124,10.77906799,1.910070658,walk
1.70E+18,5.49994458,0.776094794,-0.128760338,1.519694328,-0.428157091,-0.302259862,0.346067578,-0.382041037,9.761775017,0.85567522,14.3593998,-24.39999962,29.6337986,0.565854192,0.569546878,0.447469324,0.393950015,-2.2774508,-1.494910479,2.139674425,-0.625723124,10.8987093,2.264507532,walk
1.70E+18,5.509795898,0.422631174,-0.104264259,1.346100092,-0.40951553,-0.199398309,0.325295538,-0.41392228,9.763634682,0.818850458,14.40819931,-24.44879913,29.58499908,0.568305433,0.569531739,0.445436954,0.39274478,-2.22896409,-1.496241331,2.182426929,-0.69511497,10.89631653,2.559123755,walk
1.70E+18,5.519670166,0.152857512,-0.084498405,1.037835956,-0.397265345,-0.138147414,0.272499919,-0.440910846,9.765428543,0.78254205,14.46920013,-24.48539925,29.49959946,0.570514858,0.569406152,0.443906993,0.391453713,-2.182079792,-1.496582985,2.224347591,-0.798006356,10.90828037,2.779562712,walk
1.70E+18,5.529523926,0.011383504,0.014065742,0.758137763,-0.388210863,-0.147201896,0.209051982,-0.462102056,9.767278671,0.746396422,14.38379955,-24.59519958,29.40199852,0.572330236,0.569214225,0.443045765,0.390056044,-2.142508268,-1.495710254,2.259981394,-1.004088163,10.84128094,3.138785124,walk
1.70E+18,5.539363037,-0.09292239,0.267765045,0.662268162,-0.375428051,-0.231954485,0.164312199,-0.479743749,9.769081116,0.71082598,14.37160015,-24.69279861,29.31659889,0.57382673,0.568981647,0.442724258,0.388558865,-2.110465765,-1.493869543,2.288890362,-1.071087241,10.61366367,3.699303865,walk
1.70E+18,5.549215088,-0.130815208,0.626106262,0.87239027,-0.36630702,-0.371033967,0.147268459,-0.496681988,9.770719528,0.675823689,14.21299934,-24.80259895,29.21899986,0.575386703,0.568766415,0.442572743,0.386735409,-2.079975605,-1.491256714,2.316001177,-0.929910719,10.33819008,4.180859566,walk
1.70E+18,5.559059326,-0.105352998,0.900154114,1.261002779,-0.356187284,-0.518169284,0.150464162,-0.514636457,9.772074699,0.641945183,14.0788002,-24.98559952,29.08479881,0.577471554,0.568490207,0.442235351,0.384412974,-2.041617393,-1.488018036,2.349807739,-0.805184841,10.21854877,4.360620022,walk
